TOTEMPLOYEE,TOTVOLUNTEERS,TOTALREVPRIOR,TOTALREVCURRENT,SALARIESCURRENT
14,25,291922,253863,149039
4,,222511,235830,79823
8,35,471826,496866,255522
0,1,16894,15647,0
19,5,0,6326541,2427841
0,30,1765025,1728271,0
18,10,708604,767196,494670
31,25,555299,530300,388469
99,,3314609,2816117,2159436
60,20,16563102,16678287,8729259
0,3,766866,574502,0
0,50,248356,183434,0
4,0,4366241,4208326,72286
81,0,3914468,4184881,3116164
7,35,372488,311179,144856
3,,214713,248779,213734
0,8,740582,942195,194190
0,,45600,45056,0
0,13,182028,182575,0
105,9,12314330,13918316,7912616
0,135,30465,44123,0
0,175,1406875,746267,0
50,3,6561476,6290080,1216994
95,10,5584906,5752981,4111496
0,30,530879,90624,0
1,15,102163,302297,70000
12,137,4255028,3662138,1379723
0,0,886200,1776928,0
80,50,1574648,1784268,1273158
0,35,48144,33141,0
,,,50882,0
,,,126705,12918
,,,76479,0
,,,90536,0
,,,151547,0
,,,159432,0
,,,128706,0
,,,193243,0
,,,143948,0
,,,11713,0
,,,20163,0
,,,20380,0
,,,73285,0
,,,79369,0
,,,105709,0
,,,45557,0
,,,27839,0
,,,140952,98281
,,,165157,125833
,,,0,0
,,,77726,21000
,,,89340,0
,,,66559,0
,,,113041,18009
,,,49456,0
,,,20600,0
,,,33164,0
,,,23454,0
,,,173040,0
,,,103039,24195
,,,66972,3006
,,,90910,0
,,,51914,0
,,,60151,0
,,,189535,0
,,,55197,0
,,,122438,41228
,,,71052,13300
,,,106683,86499
,,,5,0
,,,6708,0
0,186,356462,401442,0
9,,148557,138710,103029
58,10,725522,821768,582413
109,25,11814300,12089312,4775738
0,4,1089732,888526,401454
69,416,1064827,862453,591634
2,15,119835,236924,52150
97,308,10761765,10892442,3505544
38,50,0,2735639,0
0,15,176089,229149,0
0,125,302299,280662,27500
2,0,123904,616557,97188
4,50,94987,102825,38810
0,6,3339126,1848527,0
0,2,298529,265421,0
0,,0,158557,0
0,20,6131549,6347022,0
0,69,881788,902291,234389
0,,136913,138342,0
3,150,503666,700606,245192
1,25,376932,367801,29404
1,7,0,300323,59208
13,20,811738,786681,396397
0,1150,267576,260493,0
30,0,1018762,1080262,711237
288,5,32270168,33875348,21111491
3,20,265402,222357,51139
4,450,250399,255421,71075
1090,630,88928267,87588048,51242465
0,3,147756,286395,0
0,0,98395,158077,0
0,13,939533,1156135,0
568,6,68863731,62597488,39783677
0,9,64690,67910,0
101,,2421601,2579690,1652743
6,7,1145087,1113219,309550
9,0,1857320,1124231,726870
6,5,349528,488431,199766
106,,4441975,4484530,3549881
0,0,151541,164988,0
0,,650775,835249,0
0,23,94637,61712,0
0,0,513085,654216,12416
0,0,414712,396522,0
2,0,85790,153065,51737
0,45,319014,309999,0
1860,92,241851323,252268672,103674241
26,11,942754,937604,655481
0,,1036792,4966,0
3,0,601302,941437,139889
0,25,630496,642325,0
4,0,1453276,1813951,659570
103,126,5986276,4517257,2157187
0,,87939,84370,0
9,28,1335492,1269414,626804
253,,13078297,13861545,10759976
2,0,731534,418717,182678
11,35,455696,479811,306147
43,20,1773494,1686386,775706
1,35,285880,286380,105120
18,200,666710,1541485,214522
0,0,377663,467551,0
49,0,3314182,4872,71166
4,1,550208,577832,234173
2,50,214437,333044,105056
257,28,9376778,10920925,3248709
0,,118631,139022,0
0,6,259643,301503,0
0,23,21514,10118,0
0,,457552,512599,0
21,15,855581,973940,454789
6,10,146405,289486,188904
0,,28113,83753,0
3,0,262762,234323,139015
1,,660477,399583,164643
5,3,769560,781804,203054
0,9,0,104464,0
13,,795067,1099879,595507
0,10,2904,10789,0
0,29,99352,115892,0
8,15,248344,243064,132843
6,,73404,70760,27472
62,350,5119123,3635210,2058751
0,80,188715,136754,0
1,,2080275,4806572,42038
0,5,809659,531913,74538
0,35,162811,178669,0
100,,4632500,4504581,2542443
76,98,794211,984557,799551
0,0,73510,73585,0
52,,2261502,1769110,1731530
0,17,582528,482385,57059
0,0,1765836,1779299,0
0,,0,245222,35069
9,10,15402,460347,364088
0,5,1971444,796145,137359
0,,304573,219720,0
9,69,316527,379192,196337
1,,402196,412936,38154
0,,323254,831303,0
0,0,10418,10110,0
0,,1157770,1178812,320396
48,95,2579862,2186623,827693
7,15,441100,347375,113389
0,75,57000,63861,0
0,50,281506,258003,0
20,9,568829,649668,431390
3,,254349,248373,62390
4,,229059,214087,150999
7,9,334346,548704,329587
0,15,96750,106310,7500
0,0,1047254,1339476,173089
0,3,32265,50573,0
32,,0,725679,414034
63,150,6463624,6797988,4442284
0,0,1105128,1174789,0
0,0,94697,167238,0
10,,624713,626992,171302
0,40,146306,61343,0
0,17,1273220,907789,263666
0,5,73840,67856,0
6,10,1411072,1058010,470108
0,8,33332,122247,18495
0,848,441985,460467,0
0,13,684142,659142,0
0,,959382,762550,0
7,125,583664,704075,210156
10,,459258,473511,331824
2,65,1954272,2458901,145486
15,62,2623711,2325851,968903
1,24,526215,244318,55021
0,215,2400377,2176318,0
0,550,343148,391136,0
0,5,162200,247869,0
17,,1343030,1372600,575913
32,50,589410,1080629,822593
10,0,888253,1018981,362732
0,,75009,51759,0
0,5,0,398161,0
29,6,0,4820137,2996115
131,98,4344491,3893122,2163083
8,25,562645,676025,297860
15,200,1955669,2059766,945597
1,,470472,454272,39722
0,5,615664,1794301,0
0,0,0,93855,66184
64,7,1328323,1293889,932864
0,,108004,116934,0
6,,215226,511368,0
1,65,221304,295539,88915
37,1464,1447745,1458760,474265
0,,29933,270463,13853
0,3550,392795,396775,113417
16,14,3330607,5173224,1375100
0,3,160849,162288,0
0,8,404047,445040,0
2,0,145352,163314,31948
54,13,8466221,8704582,4934301
0,80,83826,112836,500
0,8,539173,411621,0
1,0,832540,926182,77411
0,23,190282,163660,0
0,267,179733,208658,0
0,44,366527,447833,0
0,,15585,15735,0
8,,1172847,1182573,571582
0,,70005,83247,330
24,12,1133360,1271764,409825
3277,390,407736782,415533132,165219050
0,25,708418,798930,0
16,,345867,411064,209713
0,50,2080536,1033220,0
0,681,81168,83723,0
,,,58608,0
,,,0,0
,,,22741,0
,,,89703,0
,,,46445,0
,,,162556,0
,,,156361,0
,,,78901,29180
,,,62604,6230
,,,159880,0
,,,127373,0
,,,167400,65822
,,,39997,0
,,,65467,28628
,,,128803,0
,,,46227,0
,,,25178,0
,,,14447,0
,,,61277,0
,,,72041,0
,,,32598,14174
,,,82876,0
,,,188398,0
,,,112792,19945
,,,150550,12326
,,,27838,0
,,,52329,7088
,,,44164,0
,,,61987,0
,,,93790,85543
,,,15065,0
,,,34498,0
,,,158981,69839
,,,27179,0
,,,42735,0
,,,32860,0
,,,4598,0
,,,91737,0
,,,100289,0
,,,57689,0
,,,39743,0
29,4400,4466612,4907455,818382
25,21,601852,593571,425100
0,84,624752,543749,0
0,25,48380,44037,0
9,299,343202,363059,240727
6,200,2516127,2889849,860408
57,80,1982226,1972071,605097
0,0,0,67243,0
2,,84437,102789,35569
0,,70913,71011,0
8,100,1654047,2896866,477610
16,72,197211,134365,92968
0,,238025,261900,52877
2,15,151233,231882,29264
0,80,22392,71337,0
36,0,899150,984784,496669
123,107,3842415,8232269,1356619
6,200,326622,289539,91721
2,6,239820,409445,138545
0,0,95486,99428,20000
35,144,1326265,1336816,718378
3,,147103,287766,73554
22,25,251579,263564,139859
1,100,1051323,1075176,84315
7,14,1289629,1429805,784805
0,10,157830,239172,0
53,16,5723566,609463,585364
5,,160354,187579,136650
0,125,721,240249,0
1,,201588,112615,51859
0,0,604083,592281,0
0,30,759560,115845,0
24,0,817886,802407,386227
0,0,1361442,16373,0
1,20,473359,669543,92224
0,55,156605,161349,0
0,150,3201868,3406972,0
5,16,8225802,8361411,327538
,,,64907,0
,,,29890,0
,,,167862,91855
,,,121491,0
,,,26880,0
,,,34483,0
,,,93133,57779
,,,16974,2800
,,,48032,0
13,,3666412,1311456,763129
1,,0,1101234,30848
0,,97776,82361,0
0,46,185162,116374,0
0,53,364453,364453,0
110,82,5346005,5537571,4111121
257,70,5827881,6207079,2453829
0,,32026,99534,0
4,100,183622,171001,60899
4,25,384155,659429,154474
47,500,77173427,76369310,3039368
63,,1243153,1477347,874756
1,0,239097,581983,107105
0,175,143289,78491,0
0,,12042,13507,600
3,12,283625,275880,166247
2,100,405574,516925,128701
979,31,48751064,50661902,20893586
37,100,1209228,1201291,631319
0,3,176446,182762,0
0,7,5788150,11704084,0
11,14,834160,911638,414788
12,0,1622722,1715419,984077
98,2547,415794,1264828,626889
0,0,93748,288804,10188
0,450,530078,579229,0
0,3,185805,185360,42120
0,3,168009,163836,28378
4,236,457007,536594,89767
61,100,2335976,4367019,1494299
1,10,146577,755015,15330
0,,254080,255922,0
21,71,1832827,1581453,912876
0,200,766360,687028,546367
0,,20305,17838,0
0,2,-154450,68026,0
0,25,5899618,4411455,1175550
6,20,321017,439559,254826
4,8,927393,615916,190906
0,,319801,316504,69700
,,,51934,0
,,,108128,0
,,,171084,0
,,,48309,0
,,,109834,42352
,,,21841,3158
,,,131553,50344
,,,16165,0
,,,8421,0
,,,65604,0
,,,275,1600
,,,30039,0
,,,33813,0
,,,125591,95922
,,,31142,0
0,5,44828,43075,0
11,,743776,669994,552775
12,,160443,217171,62886
283,15,8271759,4232509,3153999
4,45,221216,378350,128852
20,,6604742,7243655,2375883
0,,99871,113592,0
7,10,512375,439016,281240
138,0,95281983,97600271,18142769
0,,0,81293,0
9,225,871108,3527610,423074
2,200,252323,394024,80635
66,120,2443162,2450589,1037186
17,100,1274696,1299256,295387
50,26,2718639,2808084,1295700
27,8,559321,497893,351294
73,50,5897916,5062009,2159583
50,300,3389122,1964045,2564511
3,15,164069,143967,65472
31,,254327,303194,71751
1,0,221328,135615,35004
2,6,418244,459662,258290
0,8,0,0,0
1,120,66083,107698,6230
0,0,478118,476704,0
36,0,2497760,2578679,1202387
0,135,867381,492664,0
80,75,4459642,1773351,1643677
362,12,14890249,17232704,12346215
1,,127719,145964,55978
0,,229767,282656,0
18,26,224508,296231,109276
15,0,8791985,4301331,1531170
0,,186115,257981,0
38,,955462,886397,515078
0,0,201186,221368,0
5,,308787,300070,124397
11,350,2024022,2369705,511527
91,75,2070859,3137819,1427690
0,,81302,104990,0
249,7597,6087021,6514445,3287982
0,260,1739938,1927051,0
,,,67035,0
,,,45329,0
,,,9337,0
,,,63997,0
,,,5181,0
,,,0,0
,,,19446,0
,,,52479,0
,,,30933,0
,,,72563,0
,,,97713,0
,,,60602,0
,,,188727,86345
,,,76823,0
,,,20445,0
,,,105625,91397
,,,42240,0
,,,60643,0
,,,61340,0
,,,100580,0
,,,101112,0
,,,45170,0
,,,45187,24000
,,,19925,0
,,,15228,0
,,,34633,0
,,,32075,0
,,,57438,7800
,,,73613,14245
,,,14792,0
,,,118511,0
,,,59669,0
,,,118531,0
,,,21926,0
,,,60694,0
,,,61291,26325
,,,88753,47136
,,,106463,73293
,,,44640,0
,,,55658,11070
,,,109026,0
,,,53396,15445
,,,1980,0
,,,30463,0
83,3093,1674829,1932761,966282
39,50,788667,712945,302261
0,,53443,93817,0
0,,11410,0,0
162,0,5069939,5261021,3172738
1,,178072,139158,16354
0,0,3213,25596,14000
0,3,107534,103088,0
0,,207435,219219,0
8,50,1136959,1313915,532439
0,,370080,379923,0
3,,425972,374011,139999
11,100,231948,286410,25827
0,0,3094252,2908095,470424
2,3,190670,198740,222802
0,7,96208,76563,0
,,,56147,0
,,,110311,0
,,,84083,0
,,,26631,0
,,,77394,0
,,,191056,0
,,,54547,0
,,,5640,0
,,,81490,16450
358,,6895467,7307751,4963812
904,1557,10074350,13516874,5166357
9,,388701,377342,216139
,,,102603,7917
,,,13400,0
,,,104081,55468
,,,106723,18253
,,,61434,0
,,,95339,0
,,,27800,0
,,,27770,7800
,,,169236,0
,,,0,0
,,,190523,0
,,,54245,0
,,,34147,0
,,,0,0
,,,81987,0
,,,297,0
,,,47655,0
0,450,4683206,2507455,0
3,100,206359,563159,141260
0,0,38699,0,0
57,200,520924,488199,275052
14,50,1173395,919016,162223
0,0,90737,85741,0
0,100,129726,111430,0
1,0,636924,346515,98967
0,,1093052,714274,0
9,39,84172,97482,11742
2,0,143703,396125,100855
2,55,252431,336730,144598
322,34,61981970,62613652,17652305
28,1,817583,622724,489895
0,,0,199028,0
7,26,357941,367214,208350
18,,323868,388256,221896
3,,731581,713098,107020
8,0,140023,137000,119872
0,0,77092,77365,0
0,0,0,104028,0
0,5,686535,678076,0
46,500,1964112,1733369,978552
2,159,284128,260421,90620
0,,876578,1149273,0
3,,182512,341813,181852
3,500,554392,544117,214407
9,996,172177,499444,73289
6,75,689637,920587,90113
0,15,768738,782603,0
38,29,3012261,3231965,1177730
0,22,0,1151182,0
359,20,24672099,28843350,11040536
,,,108386,31620
,,,68534,30770
,,,75973,46129
0,0,72476,65010,62148
80,2457,3606368,3420521,3027716
111,10,39280029,36158899,9947485
0,50,142551,185788,0
0,,505905,899747,0
1,,306225,304070,102683
0,35,102983,291546,121102
4,20,1247564,1287313,193679
11,0,327803,386751,169995
2,45,132489,238288,71372
0,,128000,77000,0
15,,1907730,510269,78733
3,,39581804,42244922,228459
0,,104045,728961,0
16,0,586175,670703,532987
31,5,3775879,3421764,2447433
6,0,1001865,3140329,107756
3,422,290015,458278,27876
0,200,212906,218407,0
1,,218975,151875,113358
,,,51000,0
,,,75817,0
6,600,608313,637441,232823
267,,3508876,3517597,3465196
0,13,260011,78678,0
8887,7322,153738526,185192827,92882651
2,20,138017,266574,125464
0,8,41082,251691,0
5,45,162005,162645,74101
0,,166285,179125,7860
2,,46440,245929,174521
0,,1052201,963188,0
49,4,642624,863540,669647
0,10,258673,181586,25000
0,9,188009,194923,0
5,0,637559,632016,121141
11,,266356,836203,188160
0,20,89493,157278,0
6,252,633656,637525,322437
333,44,7088003,7615874,5920675
0,200,43533,57539,0
0,18,183078,228784,0
47,150,896996,790097,467729
59,225,2599022,3177637,1437824
4,30,254481,243748,16686
0,,0,23746,0
4,75,419307,479439,151126
26,2949,1251469,1504487,942795
238,45,10575116,10735179,5172985
0,9,224944,414257,0
15,100,422075,418909,311683
2,300,133207,178200,108061
2,100,168146,216841,31545
19,7,635411,466811,322967
0,,251512,349932,0
6,,167158,192445,87449
18,,244384,252591,219939
0,117,164761,180355,1500
40,,4084765,4211549,701248
4,75,330363,339654,254280
0,,97901,136667,0
0,149,313051,317319,0
22,,595096,586807,394791
52,,1765798,1779352,1081548
,,,79971,60012
,,,76810,0
,,,136090,0
,,,70512,0
,,,63662,0
,,,118798,17889
,,,69917,29726
,,,53823,0
,,,63993,0
0,500,1717954,209941,114532
19,,860745,606426,296753
0,24,172747,89389,0
3,11,144061,126772,57893
55,60,798287,828251,340810
812,635,9946029,11652303,6838073
12,100,383705,466268,322082
1,200,283500,384204,30241
0,0,166684,154467,4384
,,,83675,0
,,,116821,47460
,,,44352,0
,,,119943,0
,,,0,0
,,,3940,0
,,,5836,0
,,,18590,0
,,,12445,0
,,,94529,0
,,,99261,0
,,,0,0
,,,144448,0
,,,33245,0
,,,31650,0
,,,76679,0
,,,2844,0
,,,84457,0
,,,112650,37089
,,,186123,93440
,,,134457,0
25,421,928656,1057671,591111
0,0,175720,177841,44079
0,,85076,84254,0
0,,22150,26746,0
,,,37519,0
,,,81929,52277
,,,83459,0
,,,30224,0
,,,59500,0
,,,1185,0
,,,108614,0
,,,28965,0
,,,30539,0
,,,7027,0
,,,175896,0
,,,24079,0
,,,22579,0
,,,37436,590
,,,73668,47646
,,,75302,0
,,,16188,13107
,,,175293,100954
,,,160332,103262
0,0,284279,121873,0
0,,252316,185395,0
126,1355,32697303,34690999,15518284
3,,196454,185877,148966
8,30,549168,636694,173098
231,0,6983497,6993746,4593548
44,50,2500000,8951467,3064735
64,0,626662,867093,420928
8,9,448483,413371,148646
38,,758544,820961,402752
5,,117035,135735,69711
0,6,334218,338886,0
0,50,14341,13914,0
0,5,0,90320,56315
30,10,1963593,1637327,1118311
744,25,0,4906277,4835959
0,80,829018,829744,0
95,1579,2960460,6516078,1998810
0,50,25999,5043,0
10,750,41102876,36562674,329983
6,,536030,478063,191205
0,0,748943,745970,140841
0,200,592142,567240,0
26,6,1810120,4168900,1259007
4,14,1051856,957078,348139
55,380,1252473,1463726,1431349
2,,430722,446813,90282
6,,256683,109408,113472
7,200,542826,719155,422511
34,30,263869,955308,4088079
13,,76677,197434,129994
575,38,38767857,42124957,24542471
0,125,1502084,1060220,0
6,50,446659,424950,180575
209,131,3718934,4169740,1979557
3,201,327626,431228,159283
0,225,1349048,1278451,137624
9,13,365463,643980,392068
0,,537276,564069,423224
3,,659581,728512,42263
0,,134413,370549,0
22,16,1059957,1108625,842631
72,2317,4002509,6038190,2445388
0,4,212698,109439,0
0,,297093,362998,128022
2,,252412,187323,49809
,,,81487,0
,,,7828,0
,,,7615,4740
,,,179103,0
,,,22910,17359
,,,25730,0
,,,112032,2560
,,,39713,0
,,,1927,0
,,,0,0
,,,35494,14990
,,,4240,0
,,,152515,81555
0,100,268848,292808,0
0,,547824,543021,0
22,,282744,273174,141793
4,0,1044846,788016,212235
1,45,206997,114602,4881
0,23,207793,213428,0
1,,125463,128619,2290
0,8,485160,429912,0
0,,46299,131636,0
0,14,215623,172614,0
18,134,1255325,1374581,459233
31,11,1191422,1360641,1134504
9,11,459293,456829,341078
152,0,3710370,4109492,3712147
210,281,11567885,11252429,6595983
0,20,80015,56194,0
,,,4234,0
,,,152664,0
,,,129866,0
,,,59425,0
,,,30495,0
,,,72924,54691
,,,89926,0
0,0,194000,207049,75161
0,250,217898,211979,0
0,,441610,2198534,0
0,100,213618,392925,172816
0,10,117698,203922,0
0,13,5331494,5349035,3631248
9,350,1338364,513695,287122
0,25,3847120,3484084,2735530
0,,137056,384211,37884
0,,0,391288,167098
0,,294898,278174,0
4,100,1249604,782315,308029
0,,846722,287634,0
,,,86779,0
,,,67911,0
,,,8204,0
,,,197,0
,,,71755,9858
,,,10042,0
,,,93993,0
33,,0,2638163,858811
19,,1500086,1723758,540879
36,112,1342097,1280865,749452
0,,0,2174539,0
0,40,74653,123725,0
1,8,148712,210247,12918
106,2,8919684,9141085,5201915
2,,111185,107426,43204
13,50,752568,708681,256728
11,10,265164,376714,209613
0,,73708,155525,0
0,100,502250,436719,0
29,168,1048790,1066966,667793
0,20,10710177,12077793,6352280
0,,0,0,0
0,,57904,99535,9200
0,75,531535,620065,0
0,43,108413,70628,0
3,,365142,373692,217350
3,3,0,181823,129603
11,150,211416,210825,109948
0,4,1087361,1598035,0
7,60,253140,313956,97831
0,,85733,87710,0
0,40,0,210765,0
10,,1074707,1236947,400337
40,,4561261,3787832,1609125
3,6,509148,332866,181873
0,0,719510,628655,0
32,30,921883,862584,496788
0,,285303,135447,0
9,813,354748,365663,279554
12,,144373,124011,90249
47,450,1488183,2031884,1190183
69,25,5366320,6736470,4262106
9,250,1405242,1437066,585831
10,5,1622365,1529117,593869
0,259,263811,209398,0
0,0,2129070,2248355,0
8,,0,234759,155450
0,,181457,102577,0
0,0,290738,250445,0
0,0,47134,49575,0
1,49,253090,281933,55297
1,0,845246,934377,65664
10,40,0,2471466,739648
0,0,120291,130691,29797
0,25,82734,60533,0
20,0,221082,263917,110835
,,,56409,0
,,,20465,0
,,,26903,0
,,,27853,16749
,,,115605,0
,,,25839,0
,,,13807,0
,,,96401,36141
,,,124110,23575
,,,86154,0
,,,0,3000
,,,30259,0
,,,52613,0
,,,78008,0
,,,122234,35381
,,,81426,0
,,,89475,0
,,,82927,69447
,,,36427,2000
,,,66685,0
,,,64061,0
,,,90231,36652
,,,142936,0
,,,51329,0
,,,29000,0
5,35,509819,518572,123682
1,15,203457,204090,22086
9,15,1266297,1338545,599068
8,,196176,379107,107707
186,370,5647846,4760514,3550960
0,0,17033096,17017778,316095
0,1,48320,239171,0
,,,11266,0
,,,52219,0
,,,59460,0
,,,65206,0
,,,74120,45499
,,,94899,0
,,,32369,0
,,,-8216,0
,,,123565,0
,,,21537,0
,,,61109,0
,,,0,0
,,,13672,0
,,,167998,100236
,,,134270,0
,,,51789,33738
,,,30016,0
,,,46387,0
,,,161777,0
,,,4602,0
,,,57606,0
,,,0,0
,,,197787,0
,,,33560,0
,,,45744,0
,,,18172,0
,,,82018,56565
,,,62204,0
,,,26530,10512
,,,0,0
,,,74192,52134
,,,100,0
,,,77480,0
,,,178457,0
,,,68241,0
,,,96993,8664
,,,11165,0
,,,7653,0
,,,51688,23209
,,,48292,0
,,,21275,0
,,,85740,0
,,,96420,0
,,,0,0
,,,5366,0
,,,67506,0
,,,63741,0
,,,86521,0
,,,27459,0
,,,61093,16871
,,,43726,0
,,,48947,0
,,,16375,3860
,,,88732,0
,,,13911,0
,,,0,0
,,,19416,0
,,,146448,0
,,,134530,4800
,,,29750,0
,,,50128,13629
,,,40581,0
,,,79467,0
,,,0,0
,,,64750,0
0,4,0,211647,0
6,32,3662223,3696279,345618
46,600,2681355,3338642,1239933
47,825,1100303,1677262,887508
0,0,136069,300811,0
108,,967389,1025728,776474
4,,494948,371287,191720
0,5,377102,378554,2000
10,70,733961,485979,165117
5,4,1627556,486758,105280
0,55,192062,251698,0
0,75,133485,133230,0
0,4,580195,580248,0
18,49,633139,518270,388326
120,60,2850179,3444948,1439080
4,300,164158,159831,72442
8,5,1248163,1107721,453974
5,35,263597,303020,127366
0,35,31235,30784,0
0,13,6038721,1706880,85475
38,5,3626434,2984744,913123
0,82,494426,461841,0
0,,3551161,3918518,0
29,,2109748,2228251,1092642
0,200,111856,193018,0
25,3,485591,174503,326223
0,100,163498,297398,44000
21,10,371441,305848,107157
0,,490260,205937,0
79,6520,1837263,2181397,1047974
357,119,21284925,23208043,7765268
0,26,509521,487804,97200
1,54,165232,188234,80168
0,0,240884,246274,0
0,11,209766,226468,134266
9,20,224628,424881,182905
54,0,1037667,890488,636932
0,0,79631,74563,8205
0,20,0,334862,58600
0,3,26473,430866,0
1,,121215,193012,17604
0,0,428370,444369,0
0,400,714594,823778,0
0,,435548,360903,0
103,,1783050,2301151,1167636
0,6,192448,213038,0
25,,1177964,979474,639799
2,12,208115,224821,101981
0,35,353665,637433,0
33,120,1730911,1703147,985321
0,0,106609,33545,0
0,,667813,603904,0
3,3,175189,145312,82455
0,,249502,376690,0
6,,759165,740066,243176
0,15,68501,64841,0
13,43,281366,242698,131889
0,0,363825,364548,240710
170,315,10332400,11151677,6996114
0,0,248581,1838003,0
24,660,2473494,2822139,1561592
0,,190372,211705,0
12,1020,1439223,1614491,466986
69,0,1578550,1777634,932884
0,0,125600,134102,0
9,12,1226724,1133240,514650
0,100,253100,245882,0
27,,6713381,4970294,659062
0,0,216552,283415,23031
0,,94965,119478,28965
60,21,15662047,16549379,4378481
2,,347325,398206,46166
12,20,264657,235644,85870
12,,292936,311326,247816
0,,38151,45156,0
0,3,142315,163971,0
0,8,551964,456278,0
36,0,18050635,23737645,2750099
0,0,318029,265216,32262
14,50,233001,211672,124323
8,50,2438381,2180648,536686
23,0,376695,368968,94946
4,6,491934,416764,345348
5,40,310206,389903,187892
414,0,41842985,45216275,32409698
45,225,1340693,1449290,659542
0,40,150708,157293,4366
13,,500562,116228,242828
0,0,0,0,0
0,61,481556,609342,216099
46,1090,3160031,4508575,1051863
0,,196514,417323,0
0,0,64507,54877,0
0,3,630,857,0
0,31,207124,152587,0
0,50,325765,305121,0
25,181,484251,487081,238622
4,5,762518,535429,160859
3222,302,431938320,470805978,265482738
41,0,1085252,1166462,661698
0,12,63599,44882,0
6,75,228962,548698,154553
1,1,121461,119736,1524
0,0,113865,112981,0
702,,199080812,154610978,47765472
0,6,115924,126874,0
305,,8232565,7833582,4222539
11,125,392639,297084,154397
0,0,172891,75720,0
0,,0,229656,0
8,3,500245,449420,315491
17,796,1274791,1637131,334627
52,0,3466480,5278983,3130701
3,60,214078,208692,106440
6836,0,1861234,1843745,111771
97,600,2651292,2502367,1510655
7,69,734635,734072,134691
0,0,114046,55001,0
13,25,5569710,4847389,786439
5,,667920,676243,325650
0,81,439277,240708,0
0,12,1451908,4279585,880118
17,,292811,362132,226327
0,,3300,0,0
335,250,10907844,10986125,4602319
12,30,431610,527013,406227
0,37,315584,346654,0
0,,23050881,14478811,1120801
0,8,321350,325673,0
0,8,326784,421282,0
9,,971998,1051563,275787
0,0,219079,223330,0
23,175,2008223,2492767,1552975
4,25,128880,128029,42198
0,,85556,26713,0
4,27,455353,875565,242579
13,0,666338,697348,290667
154,30,5421912,5347153,3491289
0,110,186887,166395,0
11,30,1095882,1019299,580170
431,15,22683376,24447867,13390423
5,6,454560,245011,209069
0,75,0,331609,0
,,,78605,0
,,,79807,24550
,,,102596,0
,,,17093,0
,,,41820,0
,,,0,0
,,,69012,0
,,,137701,71628
,,,0,0
,,,8457,0
,,,61065,22391
,,,77898,5000
,,,24943,0
,,,67491,0
,,,123200,0
,,,28219,0
,,,1605,0
,,,84923,0
,,,14612,0
,,,100664,0
,,,84367,0
,,,83972,0
,,,21855,0
,,,107729,1797
,,,35784,25250
,,,77000,0
,,,21914,0
,,,45305,0
,,,92379,0
,,,78171,0
,,,161105,0
,,,40452,0
,,,136309,56460
,,,93539,11042
,,,9350,15358
,,,138456,53000
,,,29607,0
,,,65476,5219
,,,185297,0
,,,0,0
,,,30802,0
,,,95963,19350
,,,157649,103054
,,,54981,0
,,,46297,2804
,,,49723,0
,,,163058,119704
,,,5000,0
,,,176575,53000
,,,14029,0
,,,107470,68586
,,,38666,0
483,2751,28472279,42401845,17700239
0,0,22137,60974,0
,,,89321,0
,,,13964,0
,,,45970,0
,,,77144,0
,,,1590,0
,,,51594,0
,,,11601,0
,,,84381,46962
,,,50856,0
,,,72693,0
,,,16513,0
,,,8228,0
,,,134096,5520
,,,33428,7505
,,,15790,0
,,,57825,0
49,67,2000945,2101226,1270423
0,3,311105,307258,0
0,14,87184,92725,1550
3,550,745685,779028,71903
1,0,132527,94811,64576
0,6,28621,49504,0
0,245,153315,140717,0
8,0,1004240,1230988,297203
3,0,332228,207737,204929
0,7,0,306000,0
0,0,222972,437002,0
0,7,278156,310971,125599
9,75,199431,212321,109128
119,,4160482,4002497,2103161
33,,1316390,1253945,405841
5,150,403326,389818,79359
22,30,1182108,1391868,980115
0,675,419876,390768,0
0,,0,259397,91000
0,,135504,120583,0
0,,301438,902084,0
0,17,119497,90618,0
0,20,131775,181942,0
217,,2835411,3239287,1627352
3,39,283418,313744,102610
0,2,836447,435508,0
2,35,399108,453146,87786
51,0,8714735,7683589,3413390
17,1909,958199,1518014,296595
84,20,1959973,2191499,1715155
23,186,2566863,3369418,1388632
0,,84539,72873,0
0,30,73212,44785,0
,,,123041,56236
,,,70915,14310
,,,88950,0
,,,17074,0
,,,22245,0
,,,77933,0
0,,2538994,1942026,0
55,100,1940359,1656679,227646
1124,,36576298,35671370,34490996
33,53,884070,915718,678162
0,300,254912,265101,0
0,15,249869,191520,0
0,,389447,40809,0
1419,250,168295255,174954745,99663015
24,,2987070,2542064,2370319
5,0,1861992,1626440,615121
11,,349982,400050,162151
0,0,15681,13245,0
193,1,8751008,8259154,4341356
10,64,9061085,6597888,258269
0,2048,323785,341908,162118
16,20,299829,381246,131376
40,22,1794495,1830397,1023202
52,12,2394647,2340454,1764400
4,40,0,343499,86087
23,,883295,877435,60138
1,16,283568,191095,12329
4,14,187056,453050,126844
0,100,152206,227815,0
0,11,310918,345100,0
9,,267783,224780,216882
54,30000,6230005,9861922,2189928
152,14,15398060,14856790,8468190
0,13,294115,301749,0
2,3,380425,415982,93538
93,19,7899846,7970279,5495007
8,100,552561,205246,0
10,0,2070447,1604472,741627
19,110,802720,749071,350387
198,0,7866119,8204568,3831210
45,7916,4820336,4559736,2162233
5,24,209036,205975,151127
