TOTEMPLOYEE,TOTVOLUNTEERS,TOTALREVPRIOR,TOTALREVCURRENT,SALARIESCURRENT
0,,314624,320169,0
0,5,649189,2018068,204
0,,197102,200268,58612
0,,392975,385820,69281
12,,362666,302123,189608
0,,86894,246485,0
0,275,542251,419992,0
48,75,4810612,2763941,1293249
0,,318578,339571,0
,,,95545,0
,,,108869,13155
,,,0,0
,,,51436,0
,,,77468,0
,,,38754,0
,,,102850,0
,,,149894,0
0,0,21271,20768,0
0,15,168500,109432,0
2,,222479,313747,185197
,,,107589,26634
,,,0,0
,,,68630,0
,,,55841,0
,,,30240,0
,,,0,0
,,,100257,0
11,,816529,911901,424788
0,5,111858,162166,0
0,6,2276626,20000,0
0,,133914,42380,47980
10,2000,2682934,2973451,351467
0,25,175417,1145858,0
0,,106180,112424,0
0,,185435,292616,0
38,70,546456,602376,214689
11,6,435735,432746,337421
0,2,88824,115439,0
8,17,225128,279502,177622
0,,564133,765581,0
1,,312500,443733,127787
,,,63507,16534
36,9,220804,307690,110951
6,3,244002,285186,164994
4,125,407098,363433,0
5,,0,243811,46048
,,,4627,0
0,,41057,66768,0
0,,940,1185,0
0,3,528364,527308,0
0,6,212218,214979,0
,,,45102,0
,,,200,0
0,,56127,68118,0
0,15,46074,45271,0
,,,93072,0
,,,25777,0
,,,14736,0
0,,39082,111752,0
0,,477406,90719,0
0,0,472651,783708,0
,,,41868,0
,,,23522,0
,,,0,0
,,,145275,0
0,,139475,144051,9670
0,,110587,368138,0
,,,14215,0
,,,1013,0
,,,37871,0
,,,72362,0
0,9,1922400,39928917,0
19,38,419244,441065,254045
0,,0,160500,0
0,150,243353,158459,0
,,,48003,0
,,,43407,0
,,,124,0
,,,117547,0
,,,57586,0
0,,192524,192780,0
0,11,411932,392563,0
9,,331268,352273,215214
,,,2922,0
,,,74568,0
,,,64426,0
,,,3731,980
,,,15538,0
0,,146195,174311,29431
0,5,79765,84933,0
,,,93515,73598
,,,74576,0
,,,30000,0
,,,164039,0
,,,2360,0
,,,66545,0
,,,0,0
17,60,208280,147986,40654
3,,174317,134010,82845
,,,172574,0
,,,34588,0
,,,167026,85275
,,,102300,0
,,,112418,0
18,,1271270,1463142,317048
0,,137017,122350,11600
5,0,201768,201051,99929
0,,208098,252060,0
,,,22813,0
,,,134145,0
,,,1128,0
0,5,2115069,1951681,1478987
1,5,329482,294143,106641
,,,32376,0
,,,53481,0
,,,14490,0
,,,88821,9700
4,50,488740,483550,206186
0,,0,86205,0
0,,352512,437577,0
,,,54336,0
,,,11425,0
0,1339,194464,273529,0
0,15,401991,1129993,52114
,,,143783,71617
,,,42658,0
,,,39833,0
,,,570,0
,,,4681,0
,,,74188,0
,,,69152,0
,,,37474,9960
,,,10000,0
,,,75041,0
,,,43752,0
40,,405054,379179,0
0,10,37706,18465,0
1,30,197098,156681,74004
,,,47403,35313
6,150,1395512,1258170,334098
0,,198958,198958,0
,,,33341,18000
,,,79268,0
,,,15301,0
,,,186535,0
,,,101081,0
,,,950,0
,,,3057,0
0,22,223354,265289,10500
1,,70455,49519,45096
,,,9826,0
,,,167234,125232
,,,10665,0
3,127,1627743,2657107,359171
2,20,277119,201001,0
0,9,212086,266148,189216
0,,40210,42255,0
,,,5995,0
0,40,151048,207409,0
3,4,226736,268522,101488
0,,1274895,2373212,280774
16,0,597826,562265,269314
3,157,419647,467616,129680
2,,335952,-157759,84130
0,,27000,81265,0
,,,48017,0
,,,6020,0
,,,12484,0
2,500,266309,279905,119284
,,,87194,0
,,,9542,0
,,,68165,0
0,900,449424,872241,0
0,5,0,185925,0
3,,1891075,1993986,138003
,,,53725,4600
,,,31541,0
,,,14855,0
,,,71230,21038
0,,11839,8188,0
10,,451033,548921,69169
0,,140914,157467,31658
,,,73071,0
0,,74615,54194,0
0,,440913,428972,353808
0,5,105123,95946,0
3,35,254953,325002,92087
,,,130584,71844
,,,11668,0
,,,8385,0
,,,74718,0
,,,198440,0
,,,650,0
0,,90440,100844,5276
0,,337885,832663,194870
,,,89357,13960
,,,7,0
,,,0,0
,,,151305,90435
,,,66531,0
,,,139422,0
,,,70113,0
0,65,341796,440145,0
,,,52378,0
,,,0,0
,,,20918,69
,,,184441,32108
,,,59737,0
,,,28425,0
0,0,1185917,1215880,0
,,,15000,0
,,,130424,100687
,,,74834,0
,,,49684,0
,,,76984,61550
,,,64167,0
,,,0,0
1,50,143589,240519,0
,,,70277,0
0,70,233453,207561,0
0,,133298,149670,96885
10,,443319,481739,305087
,,,64611,0
,,,0,0
,,,52435,37635
,,,176906,152948
,,,20,0
,,,88059,0
,,,108438,18384
0,,100133,300206,0
0,100,62007,48280,0
,,,142607,0
,,,146783,0
,,,28851,0
,,,630,0
,,,86577,0
,,,16734,0
,,,181458,0
,,,76285,0
,,,137651,107411
,,,325,0
,,,181408,96468
,,,9380,0
,,,106276,0
,,,60252,0
,,,14454,0
,,,5943,0
,,,4525,0
,,,133839,0
,,,195078,25545
0,,46954,64965,0
,,,12925,0
0,14,30962,32697,0
,,,28201,0
,,,22449,0
23,1,848041,729689,413070
9,35,705791,923593,404427
0,,86708,23303,0
18,35,1248037,831463,159827
25,8,1315238,4524379,719243
,,,21024,0
,,,8808,0
,,,19898,9000
,,,0,0
,,,19935,0
,,,22250,0
,,,26400,0
,,,121887,36417
,,,50686,0
,,,46161,0
,,,22858,0
2,20,229299,285260,61902
,,,146027,84540
,,,89863,64025
,,,29070,0
,,,2450,3195
,,,136314,0
7,10,206462,226776,132704
43,85,916391,1116215,531926
,,,6370,0
,,,124088,0
,,,22660,0
,,,2510,0
,,,2125,0
0,,155871,157870,0
,,,50209,48000
,,,0,0
,,,59689,0
,,,193845,114238
18,,698652,447212,250051
,,,32017,9124
,,,23000,0
,,,5480,0
,,,44128,28308
,,,147101,0
,,,33339,12820
,,,12166,0
,,,153074,20000
,,,132500,0
55,15,4281481,3607304,2791830
31,,1045253,1278716,646695
0,18,2181,3390,0
15,,409690,415922,183422
,,,155098,70699
,,,6710,0
,,,8969,4212
,,,171042,103026
,,,13,643
0,,27116,33965,0
0,,0,263054,0
,,,19350,7000
,,,4400,0
,,,88623,0
21,3,983345,1085213,705592
,,,108047,0
,,,21943,0
,,,200,0
,,,2618,0
,,,5469,0
,,,817,0
,,,198680,0
,,,163864,0
,,,1575,0
,,,51092,0
,,,78758,0
,,,84662,19676
,,,1010,0
2,3,641428,542048,60527
0,,311,0,2383
,,,38400,0
0,100,162628,92852,0
,,,144288,102674
,,,174204,11856
10,,324382,192009,107930
,,,53409,7045
,,,46697,22200
,,,0,0
,,,25250,0
,,,68976,0
,,,27499,0
0,,3967,6102,0
1,,0,202631,29850
0,102,174200,167764,0
9,0,271856,557275,240995
0,5,0,80102,0
0,,0,0,0
0,17,134370,149757,0
0,,217779,265692,0
0,7,173843,146586,0
,,,24773,0
,,,87566,27253
,,,80663,0
,,,7523,0
,,,73870,0
,,,4925,0
0,1,326462,298003,242972
2,,512174,260434,181637
,,,0,0
,,,44400,0
,,,4462,4633
,,,83383,31303
,,,3750,0
,,,122061,0
,,,37102,0
,,,113712,0
,,,9303,0
,,,38342,8600
,,,17528,0
0,8,6642,9902,0
0,,81663,95664,0
10,30,212213,210918,134595
0,,58470,54277,0
1,,0,950,0
,,,40795,0
0,,519823,452856,0
,,,20764,0
,,,12542,0
,,,8083,2377
,,,74298,0
,,,6417,0
,,,0,0
,,,0,0
,,,156014,52680
,,,44580,0
0,,144367,218544,0
40,1008,1896734,2406696,1311913
10,20,640113,703841,337216
0,,34673,24937,7750
0,13,15536,15536,0
2,,386756,291014,18853
0,,29785,20307,0
0,,-12033,17361,0
,,,44881,0
,,,5348,0
,,,12038,0
,,,0,0
,,,3400,0
,,,16234,0
1,15,8460,20083,21333
,,,400,0
,,,93554,61545
,,,80000,0
0,,261147,282142,0
,,,8992,0
,,,0,0
,,,49482,46412
,,,517,0
,,,200,0
,,,127095,0
,,,155169,0
,,,24137,0
,,,17379,0
0,0,48686,13169,0
,,,60615,0
0,,168663,120880,5355
,,,59929,13000
0,,187325,165161,0
0,0,205584,261847,18461
0,,546984,66763,0
0,0,51707,74634,0
,,,43757,0
,,,0,0
,,,45213,0
,,,135664,46709
,,,58082,0
,,,111590,0
,,,182204,0
0,10,494,2225,0
,,,25754,0
,,,3510,0
,,,66447,0
75,12,5631950,7262618,4741755
0,,46527,88079,4840
0,,212446,256034,0
3,30,289893,235142,77834
2,,206563,241274,94004
0,0,225598,217685,0
0,,105680,314076,0
10,,107510,154579,89858
,,,71352,0
0,,87104,286840,0
7,10,0,280994,118041
0,,158504,332769,0
0,,40929,45171,0
0,,4334,8618,0
,,,3574,0
,,,1,0
12,20,337987,392545,203116
0,,724796,797957,30400
,,,9,0
,,,35330,0
,,,21825,0
,,,147634,0
,,,92907,0
,,,27852,0
0,,276523,296058,0
,,,1030,0
,,,125718,0
,,,71996,0
0,400,343819,283461,0
43,,736885,1059643,410704
0,,0,62407,0
